idDrink,strDrink,strDrinkAlternate,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsIT,strInstructionsZH-HANS,strInstructionsZH-HANT,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
11000,Mojito,,"IBA,ContemporaryClassic,Alcoholic,USA,Asia,Vegan,Citrus,Brunch,Hangover,Mild",,Cocktail,Contemporary Classics,Alcoholic,Highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,,Minzblätter mit Zucker und Limettensaft verrühren. Füge einen Spritzer Sodawasser hinzu und fülle das Glas mit gebrochenem Eis. Den Rum eingießen und mit Sodawasser übergießen. Garnieren und mit einem Strohhalm servieren.,,"Pestare le foglie di menta con lo zucchero e il succo di lime.
Aggiungere una spruzzata di acqua di seltz e riempi il bicchiere con ghiaccio tritato.
Versare il rum e riempire con acqua di seltz.
Guarnire con una fetta di lime, servire con una cannuccia.",,,https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg,Light rum,Lime,Sugar,Mint,Soda water,,,,,,,,,,,2-3 oz ,Juice of 1 ,2 tsp ,2-4 ,,,,,,,,,,,,https://pixabay.com/photos/cocktail-mojito-cocktail-recipe-5096281/,anilaha https://pixabay.com/users/anilaha-16242978/,Yes,2016-11-04 09:17:09
11001,Old Fashioned,,"IBA,Classic,Alcoholic,Expensive,Savory",https://www.youtube.com/watch?v=YsE_igrPXZs,Cocktail,Unforgettables,Alcoholic,Old-fashioned glass,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",,"Zuckerwürfel in ein old fashioned Glas geben und mit Bitterstoff sättigen, einen Schuss Wasser hinzufügen. Vermischen, bis sie sich auflösen.",,"Mettere la zolletta di zucchero nel bicchiere vecchio stile e saturare con il bitter, aggiungere un goccio di acqua naturale.
Pestare finché non si scioglie.
Riempi il bicchiere con cubetti di ghiaccio e aggiungi il whisky.
Guarnire con una scorza d'arancia e una ciliegina al maraschino.",,,https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg,Bourbon,Angostura bitters,Sugar,Water,,,,,,,,,,,,4.5 cL,2 dashes,1 cube,dash,,,,,,,,,,,,https://www.thecocktaildb.com/drink/11001-Old-Fashioned-Cocktail,Dave M,Yes,2016-11-04 09:46:42
11002,Long Island Tea,,"Strong,Asia,StrongFlavor,Brunch,Vegetarian,Sour",,Ordinary Drink,,Alcoholic,Highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.,,"Alle Zutaten (außer Cola) mischen und in einem Highball-Glas über Eis gießen. Füge einen Spritzer Cola hinzu, um Farbe zu erhalten. Mit einer Scheibe Zitrone dekorieren und servieren.",,Unisci tutti gli ingredienti (tranne la cola) e versa il ghiaccio in un bicchiere highball. Aggiungi la spruzzata di cola per il colore. Decorare con una fetta di limone e servire.,,,https://www.thecocktaildb.com/images/media/drink/nkwr4c1606770558.jpg,Vodka,Light rum,Gin,Tequila,Lemon,Coca-Cola,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,Juice of 1/2 ,1 splash ,,,,,,,,,,https://pxhere.com/en/photo/1593200,Irina Prokopenko https://pxhere.com/en/photographer/999895,Yes,2015-08-18 14:54:32
11003,Negroni,,"IBA,Classic",https://www.youtube.com/watch?v=Y4LH0FQlU8Q,Ordinary Drink,Unforgettables,Alcoholic,Old-fashioned glass,"Stir into glass over ice, garnish and serve.",,"In ein Glas über das Eis gießen, garnieren und servieren.",,"Mescolare nel bicchiere con ghiaccio, guarnire e servire.",,,https://www.thecocktaildb.com/images/media/drink/qgdu971561574065.jpg,Gin,Campari,Sweet Vermouth,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/drink/11003,TheCocktailDB.com,Yes,2015-08-18 15:12:07
11004,Whiskey Sour,,"IBA,Classic,Alcoholic,ContemporaryClassic",https://www.youtube.com/watch?v=hFKZPzfngcU,Ordinary Drink,Unforgettables,Alcoholic,Old-fashioned glass,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",,"Mit Eis schütteln. In ein gekühltes Glas abseihen, garnieren und servieren. Wenn Sie ""On the rocks"" servieren, die Zutaten in ein old-fashioned, mit Eis gefülltes Glas geben.",,"Shakerare con ghiaccio.Filtrare in un bicchiere freddo, guarnire e servire.Se servito ""On the rocks"", filtra gli ingredienti in un bicchiere vecchio stile pieno di ghiaccio.",,,https://www.thecocktaildb.com/images/media/drink/hbkfsh1589574990.jpg,Blended whiskey,Lemon,Powdered sugar,Cherry,Lemon,,,,,,,,,,,2 oz ,Juice of 1/2 ,1/2 tsp ,1 ,1/2 slice ,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:15-09-26-RalfR-WLC-0191.jpg,Ralf Roletschek https://www.wikidata.org/wiki/Q15080600,Yes,2017-09-02 12:45:25
11005,Dry Martini,,"IBA,Classic,Christmas,Alcoholic",,Cocktail,Unforgettables,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",,,,Dritto: Versare tutti gli ingredienti nel mixing glass con cubetti di ghiaccio. Mescolare bene. Filtrare in una coppetta da cocktail Martini ghiacciata. Spremi l'olio della scorza di limone sulla bevanda o guarnisci con l'oliva.,,,https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg,Gin,Dry Vermouth,Olive,,,,,,,,,,,,,1 2/3 oz ,1/3 oz ,1 ,,,,,,,,,,,,,https://www.thecocktaildb.com/drink/11005,TheCocktailDB.com,Yes,2017-09-02 12:51:35
11006,Daiquiri,,"IBA,Classic,Beach",,Ordinary Drink,,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,,Alle Zutaten in den Shaker mit Eiswürfel geben. Gut schütteln. In einem gekühlten Cocktailglas abseihen.,,Versare tutti gli ingredienti nello shaker con cubetti di ghiaccio.Filtrare in una coppetta da cocktail ghiacciata. Agitare bene,,,https://www.thecocktaildb.com/images/media/drink/mrz9091589574515.jpg,Light rum,Lime,Powdered sugar,,,,,,,,,,,,,1 1/2 oz ,Juice of 1/2 ,1 tsp ,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Classic_Daiquiri_in_Cocktail_Glass.jpg,Will Shenton,Yes,2015-08-18 15:06:37
11007,Margarita,,"IBA,ContemporaryClassic",,Ordinary Drink,Contemporary Classics,Alcoholic,Cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",,"Reiben Sie den Rand des Glases mit der Limettenscheibe, damit das Salz daran haftet. Achten Sie darauf, dass nur der äußere Rand angefeuchtet wird und streuen Sie das Salz darauf. Das Salz sollte sich auf den Lippen des Genießers befinden und niemals in den Cocktail einmischen. Die anderen Zutaten mit Eis schütteln und vorsichtig in das Glas geben.",,"Strofina il bordo del bicchiere con la fetta di lime per far aderire il sale.
Avere cura di inumidire solo il bordo esterno e cospargere di sale.
Il sale dovrebbe presentarsi alle labbra del bevitore e non mescolarsi mai al cocktail.
Shakerare gli altri ingredienti con ghiaccio, quindi versarli delicatamente nel bicchiere.",,,https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg,Tequila,Triple sec,Lime juice,Salt,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1 oz ,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Klassiche_Margarita.jpg,Cocktailmarler,Yes,2015-08-18 14:42:59
11008,Manhattan,,"IBA,Classic,Alcoholic",https://www.youtube.com/watch?v=TFWPtkNoF4Y,Cocktail,Unforgettables,Alcoholic,Cocktail glass,"Stirred over ice, strained into a chilled glass, garnished, and served up.",,"Über Eis gerührt, in ein gekühltes Glas geseiht, garniert und serviert.",,"Mescolate su ghiaccio, filtrate in un bicchiere freddo, guarnite e servite.",,,https://www.thecocktaildb.com/images/media/drink/yk70e31606771240.jpg,Sweet Vermouth,Bourbon,Angostura bitters,Ice,Maraschino cherry,Orange peel,,,,,,,,,,3/4 oz ,2 1/2 oz Blended ,dash ,2 or 3 ,1 ,1 twist of ,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Oak_Fired_Manhattan_-_Stierch_1.jpg,Sarah Stierch (CC BY 4.0),Yes,2017-09-02 12:07:09
11009,Moscow Mule,,"IBA,ContemporaryClassic",,Punch / Party Drink,Contemporary Classics,Alcoholic,Copper Mug,Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,,Mischen Sie Wodka und Ingwerbier in einem mit Eis gefüllten Highball-Glas. Limettensaft hinzufügen. Vorsichtig umrühren. Garnieren.,,"Unisci la vodka e la ginger beer in un bicchiere highball pieno di ghiaccio.
Aggiungi il succo di lime.
Mescola delicatamente.",,,https://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg,Vodka,Lime juice,Ginger ale,,,,,,,,,,,,,2 oz ,2 oz ,8 oz ,,,,,,,,,,,,,"https://commons.wikimedia.org/wiki/File:Moscow_Mule_at_Rye,_San_Francisco.jpg","Will Shenton
",Yes,2017-09-02 17:49:48
