idDrink,strDrink,strDrinkAlternate,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsIT,strInstructionsZH-HANS,strInstructionsZH-HANT,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
15395,1-900-FUK-MEUP,,,,Shot,,Alcoholic,Old-fashioned glass,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,,Die Zutaten in einem mit Eiswürfeln gefüllten Mischgefäß schütteln. In ein Rocks Glas abseihen.,,"Shakerare gli ingredienti in una teglia piena di cubetti di ghiaccio.
Filtrare in un bicchiere alto.",,,https://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,,,,,,,1/2 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/2 oz ,1/4 oz ,,,,,,,,,,No,2016-07-18 22:27:04
15423,110 in the shade,,,,Beer,,Alcoholic,Beer Glass,Drop shooter in glass. Fill with beer,,Shooter tröpfchenweise in ein Glas geben. Mit Bier füllen.,,"Riempi un bicchierino di tequila.
Riempi un boccale di birra con la birra chiara.
Metti il bicchierino nella birra e bevi velocemente.",,,https://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Lager,Tequila,,,,,,,,,,,,,,16 oz ,1.5 oz ,,,,,,,,,,,,,,,,No,2016-02-03 14:51:57
14588,151 Florida Bushwacker,,,,Milk / Float / Shake,,Alcoholic,Beer mug,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,,"Alle Zutaten vermengen. Mischen, bis alles glatt ist. Auf Wunsch mit Schokoladenraspeln garnieren.",,"Combina tutti gli ingredienti.
Frulla fino a che è liscio.
Guarnire con scaglie di cioccolato se lo si desidera.",,,https://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,1 oz ,1 oz ,3 oz ,1 oz ,1 cup ,,,,,,,,,,No,2016-07-18 22:28:43
15346,155 Belmont,,,,Cocktail,,Alcoholic,White wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.,,Mit Eis vermischen. In einem Weinglas servieren. Mit Karotte garnieren.,,"Miscela con ghiaccio.
Servire in un bicchiere da vino.
Guarnire con una carota.",,,https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,,,,No,2016-10-05 12:36:28
17060,24k nightmare,,,,Shot,,Alcoholic,Shot glass,"Add over ice,shake and pour.",,"Über das Eis geben, schütteln und eingiessen.",,"Aggiungere gli ingredienti dopo aver versato un po’ di ghiaccio, agitare e versare.",,,https://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,,,,,,,,,,,,,,No,2016-07-18 22:31:38
15288,252,,,,Shot,,Alcoholic,Shot glass,"Add both ingredients to shot glass, shoot, and get drunk quick",,Beide Zutaten in ein Schnapsglas geben.,,"Aggiungi entrambi gli ingredienti al bicchierino, bevi e ubriacati velocemente",,,https://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,151 proof rum,Wild Turkey,,,,,,,,,,,,,,1/2 shot Bacardi ,1/2 shot ,,,,,,,,,,,,,,,,No,2016-07-18 22:32:42
13899,3 Wise Men,,,,Shot,,Alcoholic,Collins glass,put them them in a glass... and slam it to tha head.,,In ein Glas geben... und ab in den Schädel.,,mettetele in un bicchiere ... E buona fortuna!,,,https://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,,,,,,1/3 oz ,1/3 oz ,1/3 oz ,,,,,,,,,,,,,,,No,2016-07-18 22:34:37
15300,3-Mile Long Island Iced Tea,,,,Ordinary Drink,,Alcoholic,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,,Füllen Sie ein 12 cl. Glas mit Eis und Alkohol. Füllen Sie 2/3 des Glases mit Cola und den Rest mit Süß-Sauer. Mit einem Schuss Bitter und Zitronenkeil garnieren.,,Riempi un bicchiere da almeno 400ml con ghiaccio e alcol. Riempire i restanti 2/3 di bicchiere di cola e il resto di bevanda sweet & sour. Completare con un pizzico di bitter e uno spicchio di limone.,,,https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1-2 dash ,1 wedge ,Garnish with,,,,,,,,,No,2016-08-31 19:42:52
13581,410 Gone,,,,Ordinary Drink,,Alcoholic,Collins Glass,,,,,Versa in un bicchiere tutti gli ingredienti. Agitare bene,,,https://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Peach Vodka,Coca-Cola,,,,,,,,,,,,,,2-3 oz,,,,,,,,,,,,,,,,,No,2016-08-31 19:43:46
14598,50/50,,,,Ordinary Drink,,Alcoholic,Collins Glass,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,,Glas mit zerstoßenem Eis füllen. Füge Wodka hinzu. Füge einen Spritzer Grand-Marnier hinzu. Füllen Sie mit o.j.,,"Riempire un bicchiere con ghiaccio tritato.
Aggiungi la vodka.
Aggiungi un tocco di grand-Marnier.
Riempi di succo d'arancia",,,https://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,Vanilla vodka,Grand Marnier,Orange juice,,,,,,,,,,,,,2 1/2 oz ,1 splash ,Fill with ,,,,,,,,,,,,,,,No,2016-04-29 09:41:56
